date,state,npa_plz,latitude,longitude,total_healthy,total_sick_guess_no_corona,total_sick_guess_corona,total_sick_corona_confirmed,total_recovered
2020-03-11,FR,1527,47.6585,8.75283,0,1,0,0,0
2020-03-11,SO,4412,47.4608,7.69018,0,1,1,0,0
2020-03-11,FR,1485,46.7802,6.83071,0,0,1,0,0
2020-03-11,SZ,6418,47.0985,8.68287,0,0,0,0,1
2020-03-11,SG,9463,47.3328,9.5652,0,0,1,0,0
2020-03-11,GR,7413,46.7192,9.44982,0,0,0,1,0
2020-03-11,SG,8650,47.2307,8.86442,0,1,1,0,0
2020-03-11,GR,7514,46.4288,9.76417,0,2,0,0,0
2020-03-11,FR,1681,46.6851,6.8875,1,0,0,0,0
2020-03-11,ZH,8421,47.526,8.62239,1,0,0,0,0
2020-03-11,BE,3293,47.126,7.34868,1,0,0,0,0
2020-03-11,SZ,6434,46.9938,8.73926,0,0,1,0,0
2020-03-11,JU,2952,47.4048,7.16314,0,0,0,1,0
2020-03-11,SG,9303,47.4673,9.38157,0,1,0,1,0
2020-03-11,FR,3210,46.9812,7.19876,0,0,0,1,0
2020-03-11,VS,3946,46.191,7.69621,0,0,1,0,0
2020-03-11,VD,1437,46.7608,6.58503,1,0,0,0,0
2020-03-11,BE,3770,46.5493,7.37985,0,0,1,0,0
2020-03-11,VD,1682,46.6921,6.86483,1,1,1,0,0
2020-03-11,BE,3027,46.9476,7.40646,0,1,0,0,1
2020-03-11,SG,8733,47.2402,8.92173,1,0,0,0,0
2020-03-11,BE,2558,47.1171,7.28509,0,1,0,0,0
2020-03-11,SG,8873,47.1602,9.16656,0,0,0,1,0
2020-03-11,GR,7074,46.8087,9.52103,1,0,0,0,1
2020-03-11,SG,9025,47.1875,8.49726,0,0,0,0,1
2020-03-11,VS,3904,46.4076,7.98293,1,0,0,0,1
2020-03-11,GR,7155,46.8089,9.19271,0,0,0,1,0
2020-03-11,GL,8766,46.969,9.19265,1,1,0,0,0
2020-03-11,VD,1291,46.3201,6.16343,1,0,0,0,0
2020-03-11,GE,1256,46.1588,6.15085,0,0,0,1,0
2020-03-11,BE,3298,47.1282,7.41107,0,0,1,0,0
2020-03-11,FR,1732,46.75,7.12041,0,0,0,0,1
2020-03-11,AR,9107,47.2965,9.2678,0,0,1,0,0
2020-03-11,TI,6998,45.9993,8.79209,1,0,1,0,0
2020-03-11,VS,1911,46.1985,7.16531,1,0,0,0,0
2020-03-11,ZH,8464,47.6048,8.6005,0,0,0,1,0
2020-03-11,VD,1132,46.5006,6.4437,0,0,0,2,0
2020-03-11,VS,1977,46.3251,7.45411,0,0,0,0,1
2020-03-11,FR,1645,46.6995,7.08302,0,0,0,0,1
2020-03-11,BE,4914,47.2356,7.81718,0,0,0,1,0
2020-03-11,FR,1686,46.6701,6.97377,0,0,1,1,0
2020-03-11,AG,5201,47.4838,8.20725,0,0,1,0,0
2020-03-11,ZH,8415,47.5616,8.59287,0,0,0,0,1
2020-03-11,VD,1027,46.5299,6.51693,0,1,0,0,0
2020-03-11,LU,6232,47.2018,8.11654,0,0,1,0,0
2020-03-11,NE,2127,47.5409,8.5779,0,0,0,0,1
2020-03-11,SO,4115,47.4624,7.51891,0,1,0,0,0
2020-03-11,TI,6855,45.8476,8.93292,0,0,0,0,2
2020-03-11,VD,1446,46.7877,6.49944,1,0,0,0,1
2020-03-11,SO,4512,47.2105,7.49578,0,0,0,1,0
2020-03-11,VD,1814,46.4549,6.86935,0,0,0,0,1
2020-03-11,SG,9212,47.443,9.25549,0,0,1,0,0
2020-03-11,LU,6147,47.1897,7.88426,0,0,1,0,0
2020-03-11,VD,1128,46.5381,6.43971,0,0,0,0,1
2020-03-11,ZH,8548,47.5642,8.82414,1,0,0,0,0
2020-03-11,ZH,8246,47.6839,8.66311,1,0,0,0,0
2020-03-11,SG,9533,47.4039,8.98148,0,0,0,1,0
2020-03-11,ZH,8610,47.3532,8.72169,0,0,0,0,1
2020-03-11,SO,4543,47.218,7.62069,0,1,1,0,0
2020-03-11,VS,1993,46.1972,7.33798,1,0,0,0,0
2020-03-11,VD,1260,46.3864,6.22624,0,0,0,0,1
2020-03-11,BE,3707,46.6547,7.81244,0,0,0,0,1
2020-03-11,GL,8867,47.1269,9.02341,0,1,0,0,0
2020-03-11,VD,1551,46.7974,6.94199,0,1,0,0,0
2020-03-11,FR,1528,46.7397,6.8499,0,0,1,0,0
2020-03-11,BE,3428,47.1511,7.55781,0,0,1,0,0
2020-03-11,ZH,8707,47.2703,8.68181,1,0,0,0,0
2020-03-11,TI,6964,46.0312,8.97899,0,1,1,0,0
2020-03-11,TG,8503,47.558,8.89656,0,1,0,0,0
2020-03-11,SG,9436,47.4009,9.60855,1,0,0,0,0
2020-03-11,BL,4425,47.4017,7.71637,0,1,1,0,0
2020-03-11,AG,5077,47.5076,8.09701,0,0,1,0,1
2020-03-11,GR,7077,46.332,8.991,0,0,0,1,0
2020-03-11,BE,3283,47.0157,7.21498,1,0,0,0,0
2020-03-11,GL,8777,46.9301,9.04978,0,0,1,0,0
2020-03-11,NE,2301,47.1102,6.83338,0,0,2,1,0
2020-03-11,SO,3307,47.0854,7.46672,0,0,0,0,1
2020-03-11,BE,3645,46.7091,7.60993,0,1,0,0,0
2020-03-11,ZH,8164,47.5281,8.42938,1,0,0,0,0
2020-03-11,AG,5000,47.3888,8.0483,1,0,0,0,0
2020-03-11,SG,9323,47.4943,9.43565,0,1,0,0,0
2020-03-11,TI,6875,45.8801,9.03007,0,0,0,1,1
2020-03-11,ZH,8162,47.4977,8.44342,0,1,0,1,0
2020-03-11,TI,6577,46.1089,8.78891,0,0,0,0,1
2020-03-11,TI,6914,45.9568,8.93243,0,0,1,1,0
2020-03-11,TI,6948,46.0267,8.94851,1,0,0,0,0
2020-03-11,SO,4578,47.1469,7.45235,1,0,0,0,0
2020-03-11,ZH,8803,47.3043,8.54701,1,0,0,0,0
2020-03-11,NE,2304,47.1102,6.83338,0,0,0,0,1
2020-03-11,BS,4051,47.5577,7.59366,0,0,1,1,0
2020-03-11,VD,1001,46.5196,6.63233,0,2,0,0,0
2020-03-11,GR,7404,46.7946,9.4385,0,0,1,0,0
2020-03-11,GE,1205,46.2058,6.14139,0,1,1,0,0
2020-03-11,TI,6984,45.9797,8.86562,0,1,0,0,0
2020-03-11,TI,6830,45.8288,9.01654,0,0,0,1,0
2020-03-11,ZH,8049,47.3828,8.53081,0,0,1,0,0
2020-03-11,TI,6956,46.0688,8.9769,0,0,0,0,1
2020-03-11,BE,3019,46.9313,7.33769,0,0,0,1,0
2020-03-11,FR,1787,46.9416,7.0494,1,0,0,0,0
2020-03-11,VS,3937,46.3759,7.88056,0,0,0,0,1
2020-03-11,GR,7438,46.5231,9.18128,0,0,1,0,0
2020-03-11,VD,1144,46.5532,6.37732,2,0,0,0,0
2020-03-11,TI,6873,45.8619,8.9947,0,0,0,1,0
2020-03-11,ZH,8320,47.3873,8.75009,0,0,0,1,0
2020-03-11,AG,5301,47.5168,8.2355,0,0,0,0,2
2020-03-11,BL,4462,47.4829,7.84625,1,0,0,0,0
